job_id,Job_Title,skill_id
1,DataScientist,376
1,DataScientist,404
2,DataScientist,239
2,DataScientist,344
2,DataScientist,352
2,DataScientist,377
2,DataScientist,404
3,DataScientist,110
3,DataScientist,113
3,DataScientist,114
3,DataScientist,344
3,DataScientist,352
3,DataScientist,377
3,DataScientist,403
3,DataScientist,404
3,DataScientist,409
4,GraduateStudiesProgram-DataScientist,70
5,DataScientistI,115
5,DataScientistI,144
5,DataScientistI,267
5,DataScientistI,352
5,DataScientistI,411
5,DataScientistI,423
5,DataScientistI,437
6,DataScientist-EntrytoExperiencedLevel,18
6,DataScientist-EntrytoExperiencedLevel,22
6,DataScientist-EntrytoExperiencedLevel,105
6,DataScientist-EntrytoExperiencedLevel,114
6,DataScientist-EntrytoExperiencedLevel,239
6,DataScientist-EntrytoExperiencedLevel,350
7,GeospatialDataScientist,30
7,GeospatialDataScientist,34
7,GeospatialDataScientist,88
7,GeospatialDataScientist,161
7,GeospatialDataScientist,197
7,GeospatialDataScientist,239
7,GeospatialDataScientist,344
7,GeospatialDataScientist,352
7,GeospatialDataScientist,404
7,GeospatialDataScientist,411
8,DataScientist,239
8,DataScientist,352
8,DataScientist,404
9,BioinformaticsDataScientist,51
9,BioinformaticsDataScientist,233
9,BioinformaticsDataScientist,344
9,BioinformaticsDataScientist,352
10,DataScientist,51
10,DataScientist,114
10,DataScientist,214
10,DataScientist,344
10,DataScientist,352
10,DataScientist,441
11,DataScientist,110
11,DataScientist,114
11,DataScientist,239
11,DataScientist,344
11,DataScientist,352
11,DataScientist,377
11,DataScientist,403
11,DataScientist,411
12,DataScientist,110
12,DataScientist,114
12,DataScientist,239
12,DataScientist,344
12,DataScientist,352
12,DataScientist,377
12,DataScientist,403
12,DataScientist,411
13,DataScientist,22
13,DataScientist,115
13,DataScientist,239
14,Jr.DataScientist-MachineLearning,239
14,Jr.DataScientist-MachineLearning,344
15,DataScientist,51
15,DataScientist,218
15,DataScientist,233
15,DataScientist,239
15,DataScientist,340
15,DataScientist,344
15,DataScientist,431
16,EnrollmentDataScientist&Econometrician,2
16,EnrollmentDataScientist&Econometrician,114
16,EnrollmentDataScientist&Econometrician,213
16,EnrollmentDataScientist&Econometrician,239
16,EnrollmentDataScientist&Econometrician,344
16,EnrollmentDataScientist&Econometrician,352
16,EnrollmentDataScientist&Econometrician,378
16,EnrollmentDataScientist&Econometrician,403
16,EnrollmentDataScientist&Econometrician,410
16,EnrollmentDataScientist&Econometrician,411
16,EnrollmentDataScientist&Econometrician,423
17,JuniorDataScientist,22
17,JuniorDataScientist,115
17,JuniorDataScientist,239
17,JuniorDataScientist,344
17,JuniorDataScientist,352
17,JuniorDataScientist,404
18,DataScientist,114
18,DataScientist,144
18,DataScientist,239
18,DataScientist,266
18,DataScientist,270
18,DataScientist,344
18,DataScientist,352
18,DataScientist,377
18,DataScientist,403
18,DataScientist,404
18,DataScientist,423
18,DataScientist,451
19,DataAnalyticsandMachineLearningSpecialist,239
20,"PostdoctoralAssociate/DataScientist,LaboratoryforMultis...",234
20,"PostdoctoralAssociate/DataScientist,LaboratoryforMultis...",239
21,innovationOchsner(iO)-DataScientist-BensonTower,18
21,innovationOchsner(iO)-DataScientist-BensonTower,114
21,innovationOchsner(iO)-DataScientist-BensonTower,115
21,innovationOchsner(iO)-DataScientist-BensonTower,239
21,innovationOchsner(iO)-DataScientist-BensonTower,281
21,innovationOchsner(iO)-DataScientist-BensonTower,344
21,innovationOchsner(iO)-DataScientist-BensonTower,352
22,Statistician/DataScientist,196
22,Statistician/DataScientist,441
23,Statistician/DataScientist,196
23,Statistician/DataScientist,441
24,"EnvironmentalDataScientist,BureauofEnvironmentalSurvei...",377
24,"EnvironmentalDataScientist,BureauofEnvironmentalSurvei...",404
24,"EnvironmentalDataScientist,BureauofEnvironmentalSurvei...",411
24,"EnvironmentalDataScientist,BureauofEnvironmentalSurvei...",423
25,EnvironmentalDataManager/DataScientist(AssociateLevel),30
25,EnvironmentalDataManager/DataScientist(AssociateLevel),53
25,EnvironmentalDataManager/DataScientist(AssociateLevel),113
25,EnvironmentalDataManager/DataScientist(AssociateLevel),266
25,EnvironmentalDataManager/DataScientist(AssociateLevel),270
25,EnvironmentalDataManager/DataScientist(AssociateLevel),322
25,EnvironmentalDataManager/DataScientist(AssociateLevel),385
25,EnvironmentalDataManager/DataScientist(AssociateLevel),404
26,Sr.DataScientist-Secret,114
26,Sr.DataScientist-Secret,344
26,Sr.DataScientist-Secret,352
27,innovationOchsner-iO-DataScientist-BensonTower,18
27,innovationOchsner-iO-DataScientist-BensonTower,114
27,innovationOchsner-iO-DataScientist-BensonTower,115
27,innovationOchsner-iO-DataScientist-BensonTower,239
27,innovationOchsner-iO-DataScientist-BensonTower,281
27,innovationOchsner-iO-DataScientist-BensonTower,344
