job_id,Job_Title,salary_id,comp_id,state_id,comp_rev_id,comp_emp_id,comp_ind_id
1,Data Scientist,1,761,26,4,1,14
2,Data Scientist,1,1336,44,5,3,34
3,Data Scientist,1,523,38,5,3,34
4,Graduate Studies Program - Data Scientist,1,418,9,5,3,13
5,Data Scientist I,1,782,44,5,2,4
6,Data Scientist - Entry to Experienced Level,1,1374,21,5,3,34
7,Geospatial Data Scientist,1,1448,33,5,3,13
8,Data Scientist,1,1463,11,5,3,34
9,Bioinformatics Data Scientist,1,2050,13,5,3,9
10,Data Scientist,1,2071,26,5,1,13
11,Data Scientist,1,1949,39,5,3,9
12,Data Scientist,1,1949,39,5,3,9
13,Data Scientist,1,1684,44,1,2,9
14,Jr. Data Scientist - Machine Learning,1,700,11,5,3,34
15,Data Scientist,1,403,11,1,2,7
16,Enrollment Data Scientist & Econometrician,1,817,10,5,2,9
17,Junior Data Scientist,1,38,22,5,3,34
18,Data Scientist,1,617,47,5,1,7
19,Data Analytics and Machine Learning Specialist,1,763,31,4,1,10
20,"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",1,1319,22,5,3,9
21,innovationOchsner (iO) - Data Scientist - Benson Tower,1,1455,19,5,1,14
22,Statistician/Data Scientist,1,1649,26,4,1,1
23,Statistician / Data Scientist,1,1649,26,4,1,1
24,"Environmental Data Scientist, Bureau of Environmental Survei...",1,1448,33,5,3,13
25,Environmental Data Manager/Data Scientist (Associate Level),1,740,11,5,3,7
26,Sr. Data Scientist - Secret,1,617,47,5,1,7
27,innovation Ochsner - iO - Data Scientist - Benson Tower,1,1455,19,5,1,14
28,"Google AI Resident, 2019 Start (Fixed-Term Employee)",1,903,33,4,1,22
29,"Google AI Resident, 2019 Start (Fixed-Term Employee)",1,903,22,4,1,22
30,Data Analysis & Machine Learning Postdoctoral Researcher,1,1177,5,2,2,13
31,Applied Machine Learning Scientist - Digital Imaging,1,50,5,3,1,22
32,Machine Learning Scientist,1,1070,11,5,3,34
33,"Google AI Resident, 2019 Start (Fixed-Term Employee)",1,903,5,4,1,22
34,Data Scientist/Sr. Scientific Programmer (Researcher 6),1,2055,24,5,3,9
35,"Google AI Resident, 2019 Start (Fixed-Term Employee)",1,903,48,4,1,22
36,Machine Learning Intern (Summer 2019),1,1813,5,5,2,22
37,Data Scientist (Research Director),1,1807,44,5,3,9
38,Machine Learning Scientist II,1,1310,48,4,1,22
39,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),1,669,34,5,3,14
40,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",1,669,34,5,3,14
41,"Senior Data Scientist, Supply Chain",1,557,14,5,2,33
42,Machine Learning,1,2008,5,2,2,22
43,Temporary Content Developer - Machine Learning,1,1019,5,5,3,34
44,Machine Learning,1,2008,33,2,2,22
45,Computer Vision Scientist (Machine Learning),1,376,6,5,3,34
46,FamilySearch Machine Learning Annotation Specialist,1,1926,45,5,1,24
47,Machine Learning Research Scientist - Optics & Photonics Lab,1,1689,36,1,2,1
48,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,1,1474,5,5,3,34
49,Entry-Level Data Scientist,2,1017,52,5,1,7
50,Trainee as Data Scientist (January to June 2019),2,188,38,5,3,34
51,Data Scientist,2,1970,48,4,1,32
52,Data Scientist-Tchnlgy,2,2139,44,4,1,30
53,Data Scientist,2,2021,36,5,3,34
54,Data Scientist,2,1409,10,2,1,10
55,Data Scientist - Life Sciences,2,170,14,5,1,13
56,Data Scientist,2,2139,4,4,1,30
57,Data Scientist,2,698,47,5,3,34
58,Data Scientist,2,1310,48,4,1,22
59,Data Scientist,2,616,44,4,1,5
60,Data Scientist,2,698,47,5,3,34
61,Data Scientist - Labor Planning & Analytics,2,632,39,3,1,30
62,Associate Data Scientist,2,933,26,2,2,8
63,D3 - Junior Data Scientist 1,2,97,34,4,1,20
64,Data Scientist,2,1165,20,5,3,34
65,Data Scientist,2,2046,5,5,3,9
66,Data Scientist,2,2186,14,5,3,34
67,Data Scientist (Corporate),2,1306,29,3,1,28
68,Junior Data Scientist,2,1064,7,2,2,4
69,D3 - Junior Data Scientist,2,97,48,4,1,20
70,Data Scientist II (Forecasting & Scheduling),2,921,52,1,2,22
71,Data Scientist,2,123,40,5,2,20
72,Data Scientist,2,2063,39,4,1,14
73,Data Scientist,2,965,33,5,3,34
74,Data Scientist,2,965,33,5,3,34
75,"Data Scientist, International Programs",2,1477,47,1,2,24
76,Data Scientist (Python/R) – People Analytics - USDC,2,617,10,5,1,7
77,Data Scientist,2,1741,43,5,1,20
78,Data Scientist II,2,1301,10,4,1,20
79,Junior Data Scientist,2,657,33,5,2,23
80,"Data Scientist, Membership Analytics Job",2,289,22,4,1,30
81,Data Scientist,2,488,44,5,3,34
82,Data Scientist,2,1893,48,1,2,8
83,Data Scientist,2,337,50,5,3,34
84,Data Scientist - Junior,2,1304,9,5,2,34
85,Data Scientist,2,1465,41,5,3,34
86,Data Scientist,2,418,9,5,3,13
87,Data Scientist,2,1729,26,5,3,30
88,Data Scientist / Prognostic Health Monitoring Specialist,2,21,14,4,1,14
89,Data Scientist,2,1176,5,5,3,13
90,Data Scientist,2,1760,22,5,3,34
91,Data Analytics - Data Scientist,2,531,23,3,2,10
92,Data Scientist,2,1522,39,5,2,9
93,Data scientist,2,2103,33,5,3,34
94,Data Scientist,2,1065,33,5,3,4
95,Intern - Data Scientist,2,1497,5,5,2,22
96,Data Scientist,2,1944,18,5,2,20
97,Data Scientist,2,624,22,5,3,34
98,Data Scientist,2,392,3,5,3,34
99,Data Scientist (Corporate),2,1306,29,3,1,28
100,Senior Data Scientist,2,51,10,2,1,34
101,Sr Data Scientist,2,1970,48,4,1,32
102,Data Scientist,2,1463,11,5,3,34
103,Data Scientist - IS&T,2,1958,39,2,1,9
104,Data Science Development Program- Junior Data Scientist,2,1266,22,4,2,4
105,Data Scientist,2,832,47,5,3,34
106,Data Scientist,2,403,14,1,2,7
107,Data Scientist,2,50,45,3,1,22
108,Check and Deposit Fraud Data Scientist,2,255,34,1,1,4
109,Data Scientist,2,965,33,5,3,34
110,"Data Scientist, Bioinformatics Developer",2,22,22,4,1,25
111,Data Scientist,2,2071,9,5,1,13
112,Geospatial Data Scientist 2,2,1373,6,5,3,13
113,Data Scientist,2,1716,28,5,2,23
114,Data Scientist,2,1807,44,5,3,9
115,Data Scientist,2,720,10,5,3,34
116,"Data Scientist, Consumer Revenue",2,1402,33,5,3,34
117,Data Scientist (Bioinformatics),2,741,21,5,3,34
118,Data Scientist,2,212,15,5,3,34
119,Data Scientist - Intern/Coop,2,1017,52,5,1,7
120,Data Scientist,2,2012,24,4,1,4
121,Data Scientist,2,2120,44,5,3,34
122,Data Scientist,2,1576,21,5,3,34
123,Principal Deep Learning Data Scientist,2,1909,5,2,1,22
124,Data Scientist,2,917,39,5,3,34
125,Data Scientist,2,917,39,5,3,34
126,Data Scientist,2,1559,39,4,1,4
127,Data Scientist-Marketing GCIA,2,2139,4,4,1,30
128,Junior Data Scientist,2,38,5,5,3,34
129,Data Scientist,2,2010,44,3,2,10
130,"Principal Data Scientist, Connected Care",2,1850,23,3,1,14
131,Manufacturing Data Scientist,2,1421,48,5,3,34
132,Data Scientist,2,1786,33,5,2,7
133,Machine Learning and Artificial Intelligence Scientist,2,250,23,4,1,16
134,Data Scientist,2,2063,39,4,1,14
135,Senior Data Scientist,2,52,10,2,1,34
136,Junior Data Scientist,2,1219,47,5,3,34
137,Data Scientist,2,1110,21,5,2,34
138,Data Scientist,2,1763,39,5,3,9
139,Sr Medical Economics Data Scientist,2,391,36,5,3,34
140,Data Scientist,2,2042,44,5,2,7
141,Digital Media Data Scientist,2,642,6,4,1,23
142,Data Scientist II- Clayton (Full Time),2,508,26,1,2,4
143,Data Scientist - Generalist,2,272,5,5,3,34
144,Data Scientist,2,1587,24,5,3,34
145,Sr Data Scientist,2,1409,24,2,1,10
146,Data Scientist,2,2020,44,5,3,34
147,Data Scientist I (664803),2,238,6,5,3,34
148,AI Principal Data Scientist - PS12776,2,143,52,4,1,14
149,Sr Data Scientist,2,1409,10,2,1,10
150,Principal-Data Scientist,2,200,44,4,1,32
151,Data Scientist,2,2160,28,2,1,32
152,Enterprise Data Scientist,2,1507,44,5,3,14
153,Data Scientist,2,1273,24,1,1,14
154,Consumer Banking Data Scientist,2,1861,11,3,1,4
155,Data Scientist,2,617,47,5,1,7
156,Senior Associate Data Scientist,2,122,5,4,1,14
157,Data Scientist,2,1122,47,5,3,34
158,Data Scientist - Cancer Dependency Map,2,344,22,5,3,34
159,Data Scientist for Autonomous Systems,2,1060,5,4,1,5
160,New Account Fraud Data Scientist,2,255,34,1,1,4
161,Analytics Data Scientist,2,2018,6,5,3,14
162,Data Scientist,2,833,50,5,3,16
163,Quantitative Research Scientist / Data Scientist,2,1457,52,5,3,34
164,Data Scientist,2,1110,21,5,2,34
165,Statistician (Data Scientist),2,622,5,5,1,14
166,Data Scientist Information Manager,2,1397,32,5,3,9
167,Senior Data Scientist,2,403,11,1,2,7
168,Consumer Banking Data Scientist,2,1861,11,3,1,4
169,Data Scientist I - Agent Based Modeler (Java/Python),2,2070,44,4,1,20
170,Federal - Data Scientist,2,29,44,4,1,7
171,Data Scientist,2,2155,10,4,2,14
172,Data Scientist,2,244,3,5,1,14
173,Lead Data Scientist,2,110,23,5,1,3
174,Data Scientist,2,597,3,1,1,7
175,Data Scientist,2,1865,36,2,2,16
176,Data Scientist,2,2042,47,5,2,7
177,IRES - Data Scientist (AS0003XO),2,1289,6,5,2,1
178,IRES - Data Scientist,2,1289,6,5,2,1
179,Data Scientist,2,2196,34,2,1,33
180,"AVP - Data Scientist - New York, NY",2,457,33,4,1,4
181,Senior Data Scientist,2,403,11,1,2,7
182,"Scientist, Data (Machine Learning)",2,2044,5,5,3,34
183,Data Scientist (Masters-Level),2,1232,36,5,3,34
184,Data Scientist (Masters-Level),2,1232,36,5,3,34
185,Data Scientist,2,685,44,5,1,22
186,Data Scientist,2,2020,47,5,3,34
