skill_id,skill_desc
1,None
2,DriversLicense
3,.Net
4,3G
5,4G/LTE
6,Accounting
7,ACH
8,AcquisitionStrategy
9,ActiveDirectory
10,ADAS
11,AdobeAcrobat
12,AdobeCreativeSuite
13,AdobeInDesign
14,AdobeMarketing
15,AdobePhotoshop
16,AffiliateMarketing
17,Agriculture
18,AI
19,AJAX
20,Akka
21,Alteryx
22,AnalysisSkills
23,Android
24,Angular
25,Ansible
26,Ant
27,Apache
28,APICSCertification
29,ApplicationSupport
30,ArcGIS
31,AttributionModeling
32,Audits
33,AviationExperience
34,AWS
35,Azure
36,B2BSales
37,BasicComputerSkills
38,BC/BE
39,BGP
40,BigData
41,Bilingual
42,Bioinformatics
43,Biostatistics
44,Bootstrap
45,BuildAutomation
46,BusinessAnalysis
47,BusinessIntelligence
48,BusinessManagement
49,BusinessProcessReengineering
50,C#
51,C/C++
52,CAD
53,CADSoftware
54,Calculus
55,Calibration
56,CashFlowAnalysis
57,Cassandra
58,CCDA
59,CCNA
60,CCNASecurity
61,CCNP
62,CDISCStandards
63,CEH
64,CellBiology
65,CentOS
66,Cerner
67,CertifiedCompensationProfessional
68,CertifiedComplianceAndEthicsProfessional
69,CertifiedInformationSystemsAuditor
70,CertifiedInternalAuditor
71,CertifiedManagementAccountant
72,CertifiedProjectManager
73,CertifiedScrumMaster
74,CFE
75,CGMP
76,ChangeManagement
77,CharteredFinancialAnalyst
78,Chef
79,CI
80,CI/CD
81,CiscoRouters
82,CISM
83,CISSP
84,CleanDrivingRecord
85,ClinicalResearch
86,ClinicalTrials
87,Clojure
88,CloudComputing
89,CoachingExperience
90,ComplianceManagement
91,CompTIANetwork+
92,CompTIASecurity+
93,ComputerGraphics
94,ConflictManagement
95,Confluence
96,ContentManagementSystems
97,ContinuousImprovement
98,Control-M
99,ConversionOptimization
100,Cordova
101,CPA
102,CPHQ
103,CPTCoding
104,CrystalReports
105,CSS
106,CSSLP
107,CustomerSegmentation
108,CustomerService
109,Cybersecurity
110,DataAnalysis
111,DatabaseAdministration
112,DatabaseMarketing
113,DataManagement
114,DataMining
115,DataScience
116,DataWarehouse
117,DB2
118,DesignControls
119,DesignExperience
120,DesignPatterns
121,DHCP
122,DigitalMarketing
123,DistributedControlSystems
124,DNS
125,Docker
126,DoD8570
127,Doubleclick
128,Drupal
129,DynamoDB
130,Eclipse
131,E-Commerce
132,Elasticsearch
133,Ellucian
134,EmailMarketing
135,EmbeddedSoftware
136,Ember
137,EmployeeEvaluation
138,EnrolledAgent
139,Epic
140,EpicCertification
141,Epidemiology
142,Erlang
143,ERPSystems
144,Excel
145,ExperimentalDesign
146,FacebookAdvertising
147,FedRAMP
148,FileMaker
149,FinancialAccounting
150,FinancialModeling
151,FINRALicense
152,FIPS
153,Firewall
154,FISMA
155,Fortran
156,FPGA
157,Front-EndDevelopment
158,FTP
159,GAAP
160,Genetics
161,GIS
162,Git
163,Go
164,GoogleAdWords
165,GoogleAnalytics
166,GoogleCloudPlatform
167,GoogleSearchConsole
168,GoogleSuite
169,GPEN
170,GrantWriting
171,GraphQL
172,GSEC
173,Hadoop
174,Haskell
175,HBase
176,HDICertification
177,Heroku
178,Hibernate
179,Hive
180,HPALM
181,HTML5
182,HTTPS
183,HubSpot
184,Hyperion
185,IaaS
186,IAT
187,IATLevelI
188,IATLevelII
189,ICD-10
190,ICD-9
191,ICDCoding
192,ICU
